product_id,name,manufacturer,vga_type,width_mm,height_mm,depth_mm,display_type,battery_capacity,laptop_camera,ram_slots,cpu_model,ram_speed,cpu_cores,laptop_tam_nen_man_hinh,root_price,cpu_max_speed,refresh_rate,cpu_threads,cpu_speed,vga_vram
93958,Mac mini M4 2024 10CPU 10GPU 16GB 256GB,apple,card tích hợp,127.0,127.0,50.0,Hỗ trợ đồng thời đến ba màn hình<br>Đầu ra video kỹ thuật số Thunderbolt 4,0.0,,0.0,,7500.0,10.0,,14990000.0,,60.0,,,
82905,Laptop ASUS TUF Gaming F15 FX507ZC4-HN095W,asus,card rời,354.0,251.0,22.4,"16:9<br>Độ sáng 250 nits<br> Tỷ lệ tương phản 1000:1<br> Độ phủ màu 45% NTSC, 62,50% sRGB, 47,34% Adobe<br>Màn hình chống chói<br>Adaptive-Sync",56.0,hd,2.0,12500H,3200.0,12.0,Tấm nền IPS,24990000.0,4.5,144.0,,2.5,4.0
76751,Laptop Lenovo LOQ 15IAX9 83GS000RVN,lenovo,card rời,359.9,258.7,21.9,Độ sáng 300 nits <br> Màn hình chống chói<br> Độ phủ màu 100% sRGB<br> G-SYNC,60.0,hd,2.0,12450HX,4800.0,8.0,Tấm nền IPS,26990000.0,4.4,144.0,12.0,,6.0
79238,Laptop ASUS Vivobook 15 X1504ZA-NJ517W,asus,card tích hợp,359.7,232.5,17.9,Độ sáng 250nits<br> Độ phủ màu 45% NTSC<br> Màn hình chống chói<br> TÜV Rheinland-certified,42.0,hd,2.0,1235U,,10.0,,16490000.0,4.4,60.0,,1.3,
95111,MacBook Air M3 15 inch 2024 8CPU 10GPU 24GB 512GB Sc 35W,apple,card tích hợp,,,,True Tone,35.0,full hd,0.0,,6400.0,8.0,,42990000.0,,,,,
42449,Laptop Gaming Acer Nitro 5 Tiger AN515 58 52SP,acer,card rời,360.4,271.1,25.9,Acer ComfyView LED-backlit TFT LCD,57.5,hd,2.0,12500H,3200.0,12.0,Tấm nền IPS,27990000.0,4.5,144.0,16.0,,4.0
71865,Laptop Acer Gaming Aspire 7 A715-76-53PJ,acer,card tích hợp,362.3,237.4,19.9,Acer ComfyView,50.0,hd,2.0,12450H,3200.0,8.0,Tấm nền IPS,16990000.0,4.4,60.0,12.0,,
86208,Laptop ASUS Gaming VivoBook K3605ZC-RP564W,asus,card rời,358.6,249.1,18.9,Tỷ lệ 16:10 <br> Độ sáng 300 nits <br> Màn hình chống chói <br> Độ phủ màu 45% NTSC <br> TÜV Rheinland-certified,50.0,hd,2.0,12500H,,12.0,Tấm nền IPS,25290000.0,4.5,144.0,,2.5,4.0
73000,MacBook Pro 16 M3 Max 48GB - 1TB,apple,card tích hợp,312.6,221.2,15.5,Độ sáng XDR: 1000 nit liên tục ở chế độ toàn màn hình<br>Độ sáng đỉnh 1600 nit (chỉ nội dung HDR)<br>True Tone<br>ProMotion,70.0,full hd,0.0,,6400.0,16.0,,102490000.0,,120.0,,,
75064,Laptop Dell Inspiron 15 3520-5810BLK 102F0,dell,card tích hợp,358.5,235.6,17.0,Độ sáng 250 nits<br> Độ phủ màu NTSC 45%<br> Màn hình chống chói,,hd,2.0,1155G7,2666.0,4.0,Tấm nền IPS,13990000.0,4.5,60.0,8.0,2.5,
86451,Apple MacBook Air M2 2024 8CPU 10GPU 16GB 512GB Sc 70W I Chnh hng Apple Vit Nam,apple,card tích hợp,304.1,215.0,11.3,Liquid Retina <br> Độ sáng 500 nits,52.6,full hd,0.0,,6400.0,8.0,Tấm nền IPS,29990000.0,,,,,
88377,Laptop Dell Inspiron 15 3520 6HD73,dell,card tích hợp,358.5,235.6,17.0,Độ phủ màu NTSC 45% <br>Màn hình chống chói,41.0,hd,2.0,1255U,,10.0,Tấm nền IPS,19990000.0,4.7,120.0,12.0,1.7,
94091,MacBook Pro 14 M4 Pro 12CPU 16GPU 24GB 512GB,apple,card tích hợp,312.6,221.2,15.5,"Màn hình Liquid Retina XDR<br> XDR (Extreme Dynamic Range)<br> Độ sáng XDR: 1.000 nit ở chế độ toàn màn hình, độ sáng đỉnh 1.600 nit (chỉ nội dung HDR)<br> 1 tỷ màu<br> Dải màu rộng (P3)<br> Công nghệ True Tone<br> Hỗ trợ tối đa hai màn hình ngoài",72.4,full hd,0.0,,8533.0,12.0,,49990000.0,,120.0,,,
65165,Laptop MSI Modern 14 C12MO-660VN,msi,card tích hợp,320.0,223.0,19.5,"Chống chói, góc mở 180 độ",39.0,hd,,1235U,3200.0,10.0,Tấm nền IPS,15990000.0,4.4,,12.0,,
62665,Laptop ASUS VivoBook 14 OLED A1405VA-KM095W,asus,card tích hợp,317.1,222.0,19.9,"Thời gian phản hồi 0,2ms<br> Độ sáng tối đa 600nits HDR<br> Độ phủ màu 100% DCI-P3<br>",50.0,hd,,13500H,,12.0,Tấm nền OLED/AMOLED,20990000.0,4.7,90.0,16.0,,
97885,Laptop HP 15-FD0235TU 9Q970PA,hp,card tích hợp,359.8,236.0,18.6,Độ phủ màu 62.5% sRGB<br>Độ sáng 250 nit,41.0,hd,2.0,1334U,3200.0,10.0,,19190000.0,4.6,,12.0,,
86709,Laptop Dell Inspiron 15 3520 6R6NK - Nhp khu chnh hng,dell,card tích hợp,358.5,235.6,17.0,Độ sáng 250 nits <br>Độ phủ màu NTSC 45%<br>Màn hình chống chói,41.0,hd,2.0,1235U,,10.0,Tấm nền IPS,14490000.0,4.4,120.0,12.0,1.3,
86458,MacBook Air M2 2024 8CPU 10GPU 16GB 256GB Sc 30W I Chnh hng Apple Vit Nam,apple,card tích hợp,304.1,215.0,11.3,Liquid Retina Display,52.6,full hd,0.0,,6400.0,8.0,Tấm nền IPS,27490000.0,,,,,
83458,Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W,asus,card tích hợp,317.1,222.0,19.9,Tỷ lệ 16:10 <br> Thời gian phản hồi 0.2 ms <br> Độ sáng tối đa 600nits HDR <br> Độ phủ màu 100% DCI-P3<br>HDR True Black 600<br>1.07 tỷ màu<br>Giảm ánh sáng xanh<br>SGS Eye Care Display<br>Gamut mapping<br>Pantone,50.0,hd,2.0,12500H,,12.0,Tấm nền Oled,17990000.0,4.5,90.0,,2.5,
94521,Laptop MSI Katana 15 B13VEK-2256VN,msi,card rời,359.0,259.0,24.9,Độ phủ màu 45% NTSC<br>Màn hình chống chói,53.5,hd,2.0,13620H,5200.0,,Tấm nền IPS,28990000.0,,144.0,,,6.0
87571,Laptop Lenovo IdeaPad Slim 5 15IRU9 83D00003VN,lenovo,card tích hợp,343.5,238.2,17.4,Độ sáng 300nits <br> Màn hình chống chói<br> Độ phủ màu 100% sRGB,57.0,full hd,0.0,120U,5200.0,10.0,Tấm nền IPS,22690000.0,5.0,,12.0,1.4,
69467,Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0005VN,lenovo,card tích hợp,324.3,213.8,17.9,Độ sáng 300nits <br> Màn hình chống chói,47.0,full hd,0.0,12450H,4800.0,8.0,Tấm nền IPS,15490000.0,4.4,,12.0,2.0,
86030,Laptop HP Pavilion 15-EG3111TU 8U6L8PA,hp,card tích hợp,360.2,234.0,18.0,Màn hình chống chói<br>Độ sáng 250 nits <br> Độ phủ màu 45% NTSC,41.0,hd,,1335U,3200.0,10.0,Tấm nền IPS,21290000.0,4.6,,12.0,,
86131,Laptop ASUS Gaming VivoBook K3605ZF-RP634W,asus,card rời,358.6,249.1,18.9,Độ sáng 300nits <br>Độ phủ màu 45% NTSC <br>Màn hình chống chói<br>TÜV Rheinland-certified,50.0,hd,2.0,12500H,,12.0,Tấm nền IPS,20990000.0,4.5,144.0,,2.5,4.0
75605,Laptop ASUS Zenbook 14 OLED UX3405MA-PP152W,asus,card tích hợp,312.4,220.1,14.9,Thời gian phản hồi 0.2ms <br> Độ sáng tối đa 600nits HDR<br> Độ phủ màu 100% DCI-P3<br> Display HDR True Black 600<br> 1.07 tỷ màu<br> PANTONE Validated<br> Glossy display<br> Giảm ánh sáng xanh 70%,75.0,full hd,0.0,155H,,,Tấm nền Oled,34990000.0,,120.0,,,
88413,Laptop LG Gram 2024 2in1 14T90S-G.AH55A5,lg,card tích hợp,314.0,219.5,16.2,Tỉ lệ 16:10<br>Độ phủ màu DCI-P3 99%<br>Màn hình chống chói<br>Độ sáng 350nit,72.0,full hd,0.0,125H,7467.0,,Tấm nền IPS,44000000.0,,60.0,,,
83796,Laptop ASUS Vivobook 15 OLED A1505VA-MA469W,asus,card tích hợp,356.8,227.6,19.9,Tỷ lệ 16:9 <br> Thời gian phản hồi 0.2 ms <br> Độ sáng tối đa 600nits HDR <br> Độ phủ màu 100% DCI-P3 <br> HDR True Black 600 <br> 1.07 tỷ màu <br> Giảm ánh sáng xanh <br> SGS Eye Care Display <br> Gamut mapping <br> Pantone,50.0,hd,2.0,13900H,,14.0,Tấm nền Oled,24990000.0,5.4,120.0,20.0,2.6,
92246,Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z,acer,card tích hợp,319.8,227.9,18.9,Màn hình LCD TFT có đèn nền LED Acer ComfyView<br> Độ sáng 250nits<br> Độ phủ màu 45% NTSC,40.0,hd,0.0,N305,,,Tấm nền IPS,14990000.0,,60.0,,,
62448,Laptop LG Gram 2023 14Z90RS-G.AH54A5,lg,card tích hợp,311.6,213.9,15.9,Màn hình chống chói<br> Độ sáng 400 nits<br> Tần số quét 60Hz<br> Độ phủ màu DCI-P3 100%<br> Thời gian phản hồi 0.2ms,72.0,full hd,0.0,1340P,6000.0,12.0,Tấm nền OLED/AMOLED,38990000.0,4.6,,12.0,,
63052,Laptop MSI Modern 14 C13M-608VN,msi,card tích hợp,319.0,223.0,19.4,Độ phủ màu 45% NTSC,39.3,hd,,1335U,3200.0,10.0,Tấm nền IPS,18490000.0,4.6,60.0,12.0,,
49574,Apple MacBook Air M2 2024 8CPU 10GPU 16GB 512GB I Chnh hng Apple Vit Nam,apple,card tích hợp,304.1,215.0,11.3,Liquid Retina Display,52.6,full hd,0.0,,6400.0,8.0,Tấm nền IPS,29990000.0,,,,,
83731,Laptop ASUS Vivobook 15 OLED A1505VA-MA492W,asus,card tích hợp,356.8,227.6,19.9,Tỷ lệ 16:9 <br> Thời gian phản hồi 0.2 ms <br> Độ sáng tối đa 600nits HDR <br> Độ phủ màu 100% DCI-P3 <br> HDR True Black 600 <br> 1.07 tỷ màu <br> Giảm ánh sáng xanh <br> SGS Eye Care Display <br> Gamut mapping <br> Pantone,50.0,hd,2.0,13700H,,14.0,Tấm nền Oled,21990000.0,5.0,120.0,20.0,2.4,
94459,Laptop ASUS ROG Strix G16 G614JU-N4450W,asus,card rời,354.0,264.0,22.6,Độ sáng 500nits<br>Độ phủ màu DCI-P3 100%<br>Màn hình chống chói<br>G-Sync<br>Dolby Vision HDR<br>ROG intelligent cooling<br>ROG Nebula Display,90.0,hd,2.0,13650HX,4800.0,14.0,Tấm nền IPS,40990000.0,4.9,240.0,,2.6,6.0
101867,Apple Mac Studio M4 Max 2025 14CPU 32GPU 36GB 512GB,apple,card tích hợp,197.0,197.0,95.0,Hỗ trợ đồng thời lên đến năm màn hình,0.0,,0.0,,8533.0,14.0,,57990000.0,,,,,410.0
62669,Laptop ASUS VivoBook 15 X1504VA-NJ069W,asus,card tích hợp,359.7,232.5,17.9,Màn hình chống chói,42.0,hd,2.0,1315U,,6.0,Tấm nền IPS,12690000.0,4.5,60.0,8.0,1.2,
94500,MacBook Air M3 13 inch 2024 8CPU 10GPU 16GB - 256GB sc 30W,apple,card tích hợp,,,,True Tone,30.0,full hd,0.0,,6400.0,8.0,,30490000.0,,,,,
70430,Laptop HP Pavilion 15-EG3093TU 8C5L4PA,hp,card tích hợp,360.2,234.0,18.0,Độ phủ màu 45% NTSC<br>Màn hình chống chói<br>Độ sáng 250 nits,41.0,hd,2.0,1335U,3200.0,10.0,Tấm nền IPS,21290000.0,4.6,60.0,12.0,1.3,
101844,MacBook Air M4 13 inch 2025 10CPU 10GPU 24GB 512GB,apple,card tích hợp,304.1,215.0,11.3,Màn hình Liquid Retina <br>Có đèn nền LED<br>Mật độ 224 pixel mỗi inch<br>Độ sáng 500 nit<br>Hỗ trợ một tỷ màu<br>Dải màu rộng (P3)<br>Công nghệ True Tone,53.8,full hd,0.0,,7500.0,10.0,Tấm nền IPS,36990000.0,,,,,120.0
100732,Laptop Dell Inspiron 15 3520-5124BLK GJ8W7 V2 - Nhp khu chnh hng,dell,card tích hợp,358.5,235.6,17.0,Độ phủ màu NTSC 45%<br>Màn hình chống chói,41.0,hd,2.0,1235U,,10.0,Tấm nền WVA,15490000.0,4.4,60.0,12.0,1.3,
90907,Laptop Lenovo IdeaPad Slim 5 14Q8X9 83HL000KVN,lenovo,card tích hợp,312.0,221.0,16.9,Độ sáng 400nits <br>Độ phủ màu 100% DCI-P3,57.0,full hd,0.0,X1P,8448.0,8.0,Tấm nền Oled,24990000.0,3.4,,,,
74284,Laptop ASUS Zenbook 14 Oled UX3405MA-PP151W,asus,card tích hợp,312.4,220.1,14.9,"Tỷ lệ 16:10<br> Độ sáng tối đa 600 nits, bao phủ 100% DCI-P3<br>Đạt chuẩn DisplayHDR™ True Black 600",75.0,full hd,0.0,125H,,14.0,Tấm nền Oled,28990000.0,4.5,120.0,18.0,1.2,
93961,Mac mini M4 2024 10CPU 10GPU 24GB 512GB,apple,card tích hợp,127.0,127.0,50.0,Hỗ trợ đồng thời đến ba màn hình<br>Đầu ra video kỹ thuật số Thunderbolt 4,0.0,,0.0,,7500.0,10.0,,24990000.0,,60.0,,,
96195,MacBook Pro 14 M4 10CPU 10GPU 24GB 512GB,apple,card tích hợp,312.6,221.2,15.5,"Màn hình Liquid Retina XDR<br> XDR (Extreme Dynamic Range)<br> Độ sáng XDR: 1.000 nit ở chế độ toàn màn hình, độ sáng đỉnh 1.600 nit (chỉ nội dung HDR)<br> 1 tỷ màu<br> Dải màu rộng (P3)<br> Công nghệ True Tone<br> Hỗ trợ tối đa hai màn hình ngoài",72.4,full hd,0.0,,7500.0,10.0,,44990000.0,,120.0,,,
88689,Laptop Acer Aspire Lite 16 AL16-51P-72S2,acer,card tích hợp,357.6,247.0,18.9,Độ sáng 300 nits<br>Độ phủ màu 45% NTSC<br>Màn hình LCD TFT đèn nền LED ComfyView của Acer <br> Góc nhìn rộng lên đến 170 độ,58.0,full hd,2.0,1255U,2400.0,10.0,Tấm nền IPS,16990000.0,4.7,60.0,12.0,3.5,
62004,Mac mini M2 2023 (8 CPU - 10 GPU - 16GB - 512GB),apple,card tích hợp,19.7,19.7,3.6,Hỗ trợ xuất hình ảnh 6K 60HZ qua cổng Thunderbolt<br>Xuất hình ảnh 4K qua cổng HDMI,0.0,,0.0,,6400.0,8.0,,27990000.0,,,,,
100339,Laptop Lenovo IdeaPad Slim 3 14IRH10 83K00008VN,lenovo,card tích hợp,314.4,222.1,16.9,Độ sáng 300nits <br>Màn hình chống chói<br>Độ phủ màu 45% NTSC,60.0,hd,2.0,13420H,4800.0,8.0,Tấm nền IPS,16490000.0,4.6,,12.0,2.1,
101856,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 512GB,apple,card tích hợp,340.4,237.6,11.5,Màn hình Liquid Retina<br>Có đèn nền LED<br>Mật độ 224 pixel mỗi inch<br>Độ sáng 500 nit<br>Hỗ trợ một tỷ màu<br>Dải màu rộng (P3)<br>Công nghệ True Tone,66.5,full hd,0.0,,7500.0,10.0,Tấm nền IPS,36990000.0,,,,,120.0
84698,Laptop Masstel E140 Celeron,masstel,card tích hợp,329.0,220.0,18.7,Độ sáng 250 nits,37.0,,,N4120,,4.0,Tấm nền IPS,7990000.0,2.6,60.0,4.0,1.1,
96212,Mac mini M4 Pro 2024 12CPU 16GPU 48GB 512GB,apple,card tích hợp,127.0,127.0,50.0,Hỗ trợ đồng thời đến ba màn hình<br>Đầu ra video kỹ thuật số Thunderbolt 5<br>Đầu ra video màn hình HDMI,0.0,,0.0,,8533.0,12.0,,44990000.0,,,,,
86698,Laptop MSI Gaming Katana AI B8VE-402VN,msi,card rời,359.0,259.0,24.9,,53.5,hd,2.0,8845HS,5600.0,,Tấm nền IPS,28990000.0,,144.0,,,6.0
100668,Laptop Lenovo IdeaPad Slim 3 15ABR8 82XM00MDVN,lenovo,card tích hợp,359.3,235.0,17.9,Độ sáng 300nits <br>Màn hình chống chói,47.0,hd,1.0,5625U,3200.0,6.0,Tấm nền IPS,14490000.0,4.3,,12.0,2.3,
64260,Laptop ASUS VivoBook Go 14 E1404FA-NK177W,asus,card rời,324.5,213.9,17.9,Tỉ lệ 16:9<br>Độ sáng tối đa 250nits <br>Độ phủ màu 45% NTSC <br>Màn hình chống chói<br>Công nghệ LCD,42.0,hd,0.0,7520U,,4.0,Tấm nền TN,14490000.0,4.3,60.0,8.0,,
74288,Laptop ASUS Vivobook 14 X1404ZA-NK386W,asus,card tích hợp,324.9,213.9,17.9,Tỷ lệ khung hình 16:9<br>Độ phủ màu 45% NTSC<br>Màn hình chống chói<br>Đèn nền LED,42.0,hd,2.0,1215U,3200.0,6.0,,11990000.0,,60.0,8.0,,
73154,Laptop HP 15S-FQ5231TU 8U241PA,hp,card tích hợp,358.5,242.0,17.9,,,,,1215U,3200.0,6.0,,11990000.0,4.4,,8.0,1.2,
100372,Laptop Lenovo IdeaPad Slim 5 OLED 15ARP10 83J3002SVN,lenovo,card rời,339.3,236.0,15.6,DisplayHDR True Black 600<br>Độ phủ màu 100% DCI-P3<br>Độ sáng 500nits,70.0,full hd,0.0,7735HS,6400.0,8.0,Tấm nền Oled,23490000.0,4.75,165.0,16.0,3.2,
86711,Laptop Dell Inspiron 15 3520-5124BLK GJ8W7 - Nhp khu chnh hng,dell,card tích hợp,358.5,235.6,17.0,Độ phủ màu NTSC 45%<br>Màn hình chống chói,41.0,hd,2.0,1235U,,10.0,Tấm nền WVA,15490000.0,4.4,60.0,12.0,1.3,
99884,Laptop MSI Gaming Thin 15 B12UCX-1419VN V2,msi,card rời,359.0,254.0,21.7,Độ phủ màu 45%NTSC,52.4,hd,2.0,12450H,3200.0,,Tấm nền IPS,17990000.0,,144.0,,,4.0
99108,Laptop Dell Inspiron 15 3520 I3520-7896BLK-PUS - Nhp khu chnh hng,dell,card tích hợp,358.5,235.6,17.0,Đèn nền LED<br> Màn hình chống chói<br> Độ sáng 250 cd/m²<br> Mật độ điểm ảnh: 141 ppi<br> Không gian màu RGB : NTSC<br> Narrow Border,41.0,hd,2.0,1255U,,8.0,Tấm nền IPS,20490000.0,4.7,60.0,12.0,,
71770,MacBook Pro 16 M3 Max 36GB - 1TB,apple,card tích hợp,355.7,248.1,16.8,Độ sáng XDR: 1000 nit liên tục ở chế độ toàn màn hình<br>Độ sáng đỉnh 1600 nit (chỉ nội dung HDR)<br>True Tone<br>ProMotion,72.4,full hd,0.0,,6400.0,14.0,,89990000.0,,120.0,,,
95101,MacBook Air M3 13 inch 2024 8CPU 10GPU 24GB - 512GB Sc 35W,apple,card tích hợp,,,,True Tone,35.0,full hd,0.0,,6400.0,8.0,,37990000.0,,,,,
60665,Laptop ASUS TUF Gaming A15 FA507NV-LP046W,asus,card rời,354.0,251.0,22.4,"Tần số quét 144Hz <br> Độ sáng 250nits<br> Độ phủ màu 72% NTSC, 100% SRGB, 75.35% Adobe<br> Màn hình chống chói<br> G-Sync ",90.0,hd,2.0,7735HS,4800.0,8.0,Tấm nền IPS,29990000.0,4.7,,16.0,,8.0
84942,Laptop Lenovo ThinkPad E14 GEN 5 21JK00H5VN,lenovo,card tích hợp,313.0,219.3,18.0,Độ sáng 300 inits <br> Màn hình chống chói <br> Độ phủ màu 45% NTSC,47.0,full hd,2.0,13420H,3200.0,8.0,Tấm nền IPS,22990000.0,4.6,,12.0,2.1,
98756,MacBook Pro 16 M4 Max 16CPU 40GPU 64GB 2TB,apple,card tích hợp,355.7,248.1,16.8,"Màn hình Liquid Retina XDR<br> XDR (Extreme Dynamic Range)<br> Độ sáng XDR: 1.000 nit ở chế độ toàn màn hình, độ sáng đỉnh 1.600 nit (chỉ nội dung HDR)<br> 1 tỷ màu<br> Dải màu rộng (P3)<br> Công nghệ True Tone<br> Hỗ trợ tối đa bốn màn hình ngoài",100.0,full hd,0.0,,8533.0,16.0,,117490000.0,,120.0,,,
78120,MacBook Air M3 15 inch 2024 16GB - 512GB,apple,card tích hợp,,,,True Tone,,full hd,0.0,,6400.0,8.0,,37990000.0,,,,,
101849,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 256GB,apple,card tích hợp,340.4,237.6,11.5,Màn hình Liquid Retina<br>Có đèn nền LED<br>Mật độ 224 pixel mỗi inch<br>Độ sáng 500 nit<br>Hỗ trợ một tỷ màu<br>Dải màu rộng (P3)<br>Công nghệ True Tone,66.5,full hd,0.0,,7500.0,10.0,Tấm nền IPS,31990000.0,,,,,120.0
78880,Laptop ASUS Expertbook B1402CBA-NK2669W,asus,card tích hợp,326.9,214.5,19.9,Độ sáng 250 nits <br> Độ phủ màu NTSC: 45%<br> Màn hình chống chói<br>Tỷ lệ tương phản 500:1,42.0,hd,,1235U,,12.0,Tấm nền TN,19990000.0,4.4,60.0,,1.7,
98803,Laptop Acer Aspire Lite Gen 2 AL14-52M-32KV,acer,card tích hợp,313.3,218.0,16.9,Độ sáng 300 nits <br>Độ phủ màu 45% NTSC,58.0,full hd,2.0,1305U,2400.0,5.0,Tấm nền IPS,9990000.0,4.5,60.0,6.0,3.3,
89270,Laptop HP Gaming Victus 16-S0173AX A9LG9PA,hp,card rời,369.0,369.0,259.4,Độ phủ màu 45% NTSC<br>Độ sáng 250 nits<br>Màn hình chống chói,70.0,full hd,2.0,7640HS,5600.0,6.0,Tấm nền IPS,27390000.0,5.0,144.0,12.0,,6.0
88243,Laptop HP 15-FD0237TU 9Q972PA,hp,card tích hợp,359.8,236.0,18.6,Màn hình chống chói <br>Độ sáng 250 nits<br>Độ phủ màu 45% NTSC,41.0,hd,2.0,1334U,3200.0,10.0,,18390000.0,4.6,,12.0,,
88237,Laptop ASUS Vivobook 14 OLED A1405ZA-KM263W,asus,card tích hợp,317.1,222.0,19.9,Thời gain phản hồi 0.2ms<br>Độ sáng 600nits HDR peak brightness<br>Độ phủ màu 100% DCI-P3<br>Gamut mapping<br>HDR True Black 600<br>1.07 tỷ màu<br>SGS Eye Care Display<br>Giảm 70% ánh sáng xanh có hại,50.0,hd,2.0,12700H,,14.0,Tấm nền Oled,20490000.0,4.7,90.0,,2.3,
97921,Laptop HP 14S-DQ5121TU 8W355PA,hp,card tích hợp,324.0,225.0,17.9,,41.04,,2.0,1215U,3200.0,6.0,,12990000.0,4.4,,,,
84433,Laptop Lenovo ThinkBook 16 G6 IRL 21KH00Q0VN,lenovo,card tích hợp,356.0,253.5,17.5,Độ sáng 300nits <br> Màn hình chống chói<br> Độ phủ màu 45% NTSC,71.0,full hd,2.0,13420H,5200.0,8.0,Tấm nền IPS,20490000.0,4.6,,12.0,2.1,
82804,Laptop ASUS Vivobook 15 OLED A1505VA MA468W,asus,card tích hợp,356.8,227.6,19.9,16:9<br>Độ sáng tối đa HDR 600 nits<br>Độ phủ màu 100% DCI-P3<br>tỷ lệ tương phản 1.000.000:1<br>HDR True Black 600<br>1.07 tỷ màu<br>Ánh sáng xanh ít gây hại hơn 70%<br>Chứng nhận TÜV Rheinland<br> SGS Màn hình chăm sóc mắt,50.0,hd,1.0,13500H,,12.0,Tấm nền Oled,20990000.0,4.7,120.0,16.0,2.6,
75491,Laptop Acer Aspire 3 A314-42P-R3B3 NX.KSFSV.001,acer,card rời,318.2,225.5,17.8,45% NTSC<br>LED Backlit<br>Acer ComfyView,50.0,hd,0.0,5700U,,8.0,Tấm nền IPS,13990000.0,4.3,60.0,16.0,,
72679,Laptop ASUS Vivobook GO 15 E1504FA-NJ454W,asus,card rời,360.3,232.5,17.9,Độ sáng 250 nits<br>Độ phủ màu 45% NTSC<br>Màn hình chống chói<br>TÜV Rheinland-certified,42.0,hd,0.0,7520U,,4.0,,14490000.0,4.3,60.0,8.0,,
